,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
26,0,11140635,14531.642300000001,555.4217,797.3393,569.0554,1288.6662,347.4421,603.3629,1111.9388,1170.3399,1026.0235,752.9304,376.5433,868.2973000000001,1341.3087,1156.1414,1208.4237,909.9649
27,0,11140645,12312.9695,367.01890000000003,568.3194,411.8455,970.1786,411.9396,579.4372999999999,1073.2199,869.9196000000001,899.9712999999999,664.4582,391.818,847.8813,1200.6860000000001,957.2517,978.4833,776.5310999999999
28,0,11140650,6798.4262,156.4129,285.313,193.45440000000002,430.53340000000003,180.7595,477.5293,644.1966,523.7965,508.624,357.61,139.4446,644.649,646.0864,454.2778,510.9236,427.663
29,0,11140665,12979.4342,416.6872,713.7029,387.8522,1059.2809,469.7893,647.4513000000001,960.824,1088.2607,1025.0582,747.9029,516.1862,871.1018,1051.8523,1037.8884,1001.5989,887.1703
30,0,11140670,13941.032299999999,520.2458,576.971,531.5196,779.7189,194.46300000000002,814.5227,1519.3891,1137.6579,808.1656,592.7122,290.2376,1639.6641,1736.8021999999999,1095.7975,798.6221,705.3014000000001
31,0,11140680,6688.6438,186.1215,330.8558,98.231,503.20419999999996,166.86530000000002,337.6275,625.3411,707.9662999999999,588.1308,308.4106,152.8092,431.121,759.0467,565.4106,486.2848,295.302
32,0,11170510,14452.5267,567.8664,603.1738,306.7829,896.8447,578.1753,805.2366,1320.511,1154.9917,1003.0624,749.0653,460.2507,945.768,1521.4029,1189.1311,1074.2975000000001,897.7993
33,0,11170520,11693.7919,254.1096,456.5002,231.6032,856.4341000000001,310.2988,935.8389,1213.7614,1104.5626,673.112,435.1502,312.4771,1080.7191,1280.6773,1023.5062,686.0909,606.1551000000001
34,0,11170530,8959.557,152.2862,444.1963,79.93209999999999,478.7861,205.6487,809.2873000000001,992.5282,776.3206,826.9532,620.5784,198.00900000000001,932.3620999999999,745.1656,546.1686,589.8176,412.3899
35,0,11170555,21693.1072,210.282,683.5992,379.8236,1311.5549,480.72049999999996,1686.6958,2141.5721,1465.2204,1391.4712,815.8207,795.1629,3808.8698,2302.3444,1525.2399,1394.7259999999999,968.5229
36,0,11170560,18797.1501,737.9202,497.4056,783.6945000000001,720.796,494.2924,1030.8658,2240.7911,1746.3810999999998,1168.0538,636.4306,491.3042,1714.5529,2808.0245,1604.0323,1198.4018,754.4827
37,0,11170570,15453.8523,693.8912,683.3054,337.168,1074.0017,559.7782,750.4818,1283.54,1331.0662,1183.1285,708.3903,632.7072000000001,1155.3868,1549.8775,1234.7997,1153.0921,871.331
38,0,11170580,9607.098,233.9107,364.7766,277.7125,630.4431,306.93399999999997,579.2208,811.9341000000001,783.8851999999999,614.8412,398.0553,388.93420000000003,913.6003000000001,1061.7565,830.5971999999999,722.0563,553.4986
39,0,11170590,9345.4885,347.71479999999997,369.3235,265.5822,703.4285,312.81579999999997,501.6293,726.1598,730.9182999999999,677.161,449.0449,291.584,685.8258999999999,946.9873,680.6663,733.7094,538.6609
40,0,11170625,35714.406,797.0524,1124.9007,629.0286,1408.7349,915.6756,3866.4886,4253.8619,3244.3342,2438.4077,1441.912,789.6242,3243.435,4307.546,3022.5191,2399.4891,1569.5111
41,0,11170630,25267.3187,1436.5867,1097.1095,1228.5306,1664.8034,1427.065,823.6503,1336.9249,2271.1915,2053.2653,1189.1377,1244.1100999999999,1098.0841,1716.1965,2552.0153,2053.4518,1303.8954999999999
42,0,11170640,7272.1458999999995,231.6472,330.71659999999997,212.02190000000002,733.2855,226.0711,340.8832,626.5711,636.3869,533.9024,404.87350000000004,168.2004,382.803,666.5912,542.0395,557.2846,502.5765
43,0,11170650,15284.0469,109.9311,306.4232,83.36659999999999,468.3534,296.6724,2808.5617,2642.2019999999998,1300.9007000000001,667.1402,354.82710000000003,222.3751,2521.3062999999997,1613.4845,811.3132,585.7464,434.3937
44,0,11170660,11782.5826,265.2399,413.1841,333.5269,574.0747,291.2308,684.6026,1182.2339,1404.7504,745.8731,387.7691,324.1312,973.9145,1467.1769,1308.6307,806.0201,525.3432
45,0,11170685,22110.6173,461.0437,625.1582999999999,485.1093,1065.1562,493.6979,2017.4971,2393.4695,2418.3565,1489.1807000000001,744.2902,499.8773,1655.8701999999998,2739.1492,2190.1218,1386.6048,981.7238
46,0,11170690,13028.972099999999,460.2806,567.0129,396.1792,821.763,715.4839,660.6409,744.162,1347.1021,1161.0162,703.1603,667.2575,765.3112,861.385,1291.8312,994.4379,616.869
47,0,11170700,7889.3916,131.14939999999999,276.9002,96.1903,538.1472,305.77570000000003,474.3015,668.3079,799.1821,682.6758,400.37739999999997,209.0524,396.54970000000003,645.7742,846.082,589.762,471.8692
48,0,11200520,16300.6985,483.75509999999997,592.8720999999999,467.6256,1020.9909,582.8804,1015.1999,1502.6338,1167.4142,1012.8340000000001,784.7645,639.7558,1469.3072,1810.9222,1371.3029000000001,1298.4759,930.0327
49,0,11200535,29939.3416,1367.4911,976.1175000000001,1203.6544000000001,1701.1225,769.4590000000001,1883.1251,2705.0399,2579.9528999999998,1997.0287,1305.587,809.6974,3007.9273,3193.8757,2460.5652,2188.1856,1471.1025
50,0,11200540,19604.0517,535.432,918.3705,432.1753,1346.3051,780.2589,1559.0709,1455.9141,1424.2136,1487.0141,999.2565,711.9247,1846.2391,1613.7164,1377.9612,1530.9047,1185.8983
51,0,11200550,20748.401,257.4948,509.1995,401.7191,772.233,793.2174,4834.3961,1496.4351,1017.6486,971.8988,529.9102,987.0609,4534.6992,1224.9076,813.3599,799.6751,629.9673
52,0,11200560,26982.8239,755.5797,763.6066999999999,775.2269,1058.4425,1167.6734999999999,2222.9351,2362.3017,2359.6304999999998,1846.6087,1182.8599,1296.1252,2891.6757000000002,2587.9107999999997,2235.0319,1941.2413999999999,1219.4274
53,0,11200570,22025.3579,752.7819,873.1942,835.6014,1634.7581,960.6169,875.0281,1665.2778,1878.8062,1578.8078,982.6641,1061.0315,1232.7114,2122.2477,2332.7435,1715.2223,1213.5339
54,0,11200580,12325.2614,418.0669,537.6005,569.237,823.7946,636.4464,402.0635,753.6642,1054.1112,981.4938,525.2932,698.0285,561.174,998.7243,1306.8923,1012.9826,668.2848
55,0,11200590,14632.8711,664.2928,594.7216,765.239,884.162,680.4667999999999,509.88599999999997,1039.0665000000001,1412.5304,970.6388,637.9824,610.0023,622.3692,1350.9501,1596.7071,1036.7,871.4792
56,0,11200615,22722.1051,844.9329,946.9126,766.5693,1747.9592,634.0511,998.7809,1948.3565,1957.7285,1718.2394,1019.4923,730.5951,1258.9153,2388.8158,2116.8402,1842.7918,1301.5182
57,0,11200620,11986.246,562.0101999999999,509.5778,518.4913,858.6359,361.8838,482.8401,967.695,1194.6777,846.4456,576.6893,276.2491,494.7023,1215.4464,1092.1521,898.4721,761.4309
58,0,11200645,26631.1276,1624.7275,1144.9026,1467.14,1841.4643999999998,781.0694,901.5116,2113.8415,2553.9639,1776.3472000000002,1107.0745,885.1116,1167.2315,2641.6379,2733.3281,1934.6623,1582.2546
59,0,11200650,14979.0128,434.7174,581.5672,301.2199,790.2089,432.2393,917.9598000000001,1472.3749,1317.5498,1169.4004,845.8009000000001,404.4948,1140.7552,1602.2571,1091.3836,1272.7861,815.5586
60,0,11200660,13977.5856,412.1984,408.53020000000004,364.8567,626.5459,413.6247,955.6818000000001,1577.064,1342.0582,960.3437,698.0762,413.08979999999997,1080.9465,1487.5214,1155.4911,890.8419,717.0702
61,0,11200670,17854.8282,478.0311,635.6545,401.9076,946.0251,517.0781,1078.9061,1725.2655,1466.5676,1642.2051,1118.8837,510.5614,1432.4446,1554.4696,1338.4088000000002,1437.9583,1208.3377
62,0,11200690,23475.5848,649.1551999999999,791.3126,712.8466,1148.8788,629.8021,2121.5888,2454.4135,2311.4231,1790.2376,1032.8,665.5894,2415.547,2210.274,1660.4232,1662.7947,1115.7324
63,0,11200720,10558.7705,239.2663,394.1136,303.6425,629.2077,255.1682,1035.188,1068.618,914.2756,745.3117,557.3295,283.5391,1226.9008000000001,850.1625,752.1777,619.3682,511.9451
64,0,11200790,17361.7418,253.17839999999998,537.1159,260.2691,1050.2587,460.4991,1803.1897,1663.2216,1425.9299,1455.1591,867.4627,402.8909,2156.149,1647.2966,1276.9659,1167.3041,718.5534
65,0,11215710,40926.1219,292.2621,843.6714000000001,293.6179,1057.2465,1258.8526,8989.3935,3525.1158,2013.132,1589.5647,829.0062,1188.6071,11094.8191,3402.6917,1858.5291,1387.7418,953.0677999999999
66,0,11215730,24140.0072,594.5043,595.0597,490.5326,1013.9351,812.4859,3441.8436,2181.7747,1621.6944,1316.5543,820.1055,830.2022000000001,4161.1676,2145.3897,1564.8897,1205.7318,936.1404
67,0,11215740,15237.4879,556.608,579.9208,384.84659999999997,736.0694,420.2611,1218.8499,1598.8215,1157.5647,999.5365999999999,665.8605,320.8359,1693.9172,1740.3841,1109.7006999999999,1021.5798,827.3335
68,0,11215750,20404.942,721.5231,741.5173,654.4301,1311.8511,709.314,1448.2071,1751.5198,1538.145,1348.2484,842.5285,770.0919,1871.4834,1942.5359,1607.0506,1617.2021,1127.5888
69,0,11215760,15386.6862,469.2526,594.9096,489.1838,1084.3432,433.2305,1018.8697,1438.8969,1167.4677,1111.1066,837.1894,556.5551,1245.9476,1366.4261,1005.7719,1298.6866,1076.4270999999999
70,0,11215770,25837.662,769.005,1256.7311,731.8925,1950.8229000000001,814.9516,1651.2732,1879.0889,1815.8238,2047.5784,1468.7765,904.5068,1760.0457,2151.6003,1927.3414,2224.0942999999997,1879.7002
71,0,11215780,12318.0704,360.1291,435.264,416.69599999999997,633.4589,261.4129,1099.102,1301.6624,932.6428,747.3245000000001,445.2004,355.7728,1469.0233,1436.6382999999998,836.8182,776.2618,544.1776
72,0,11215810,36073.8908,1681.3038999999999,1231.4098,1841.1021,1382.4799,3121.5907,1546.7695,1592.7609,3159.544,2808.9676,1419.5346,3349.5738,1909.9717,2134.6524,3915.9055,2930.8766,1570.146
73,0,11215820,25625.3203,541.3525999999999,807.2621,492.9838,1373.5974999999999,949.8688,2476.8804999999998,2354.0415,1866.289,1870.7297,1153.2234,921.0578,3219.7976,2313.8913,1915.4361,1696.9714,1362.2506
74,0,11215830,22795.8158,1020.1474,947.303,912.0104,1411.2167,904.1638,1322.9227,1888.6008,1886.3485,1593.9431,1097.3443,865.5553,1457.3746,2075.1667,1914.1707000000001,1647.5692,1476.5314
75,0,11215840,26263.165100000002,1021.4194,995.7706000000001,1043.7163,1658.0194,1229.5131,1677.3033,1792.8231,2073.611,1712.4750999999999,1110.8189,1229.7664,2006.5753,2170.2947,2394.6494000000002,1895.7198,1401.1127000000001
