,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
0,0,11110515,14234.6898,487.8241,547.0254,752.8291,1034.4819,820.3498,695.7748,832.95,1106.8526,973.5109,517.8492,907.5628,688.5432,1057.0439999999999,1510.0810000000001,1198.0818,818.8044
1,0,11110530,11823.213,239.1023,513.7827,293.4479,783.4727,272.8036,650.0406,870.1871,1202.3712,965.3072,596.066,379.508,770.0627000000001,1110.1524,1252.8178,1028.6552,686.6469999999999
2,0,11110540,3598.9729,51.2906,190.5122,62.6265,273.0924,302.8293,416.3236,213.8998,304.3719,281.1741,180.9992,84.9118,182.369,188.4595,349.67740000000003,259.9159,236.4067
3,0,11110550,12677.6631,383.2054,692.962,454.121,1060.6685,688.5457,695.6112,679.4975,847.3807,1040.4189999999999,633.1683,653.1813000000001,783.625,809.8441,1203.0622,1092.4005,806.1415000000001
4,0,11110560,18943.9537,638.3381,887.457,758.1027,1831.385,1017.0928,980.6109,833.6271,1234.8796,1397.4787,1091.0825,957.8181,919.9471,1186.3848,1587.7038,1842.8643,1501.7576
5,0,11110570,6708.2076,185.5193,342.94849999999997,285.1497,503.5017,326.3927,380.1757,362.9847,472.869,484.83029999999997,366.5663,478.66630000000004,368.4385,385.4,578.7037,521.7601999999999,465.1548
6,0,11110580,7725.0064,292.9449,279.4806,319.8942,562.2871,322.3582,416.6169,549.1486,725.9485,556.4748,323.3043,445.6153,538.9254999999999,617.4455,706.5525,641.9211,422.3384
7,0,11110600,3979.254,78.51859999999999,201.24169999999998,104.8236,364.3315,202.3456,192.7765,282.3154,349.7753,380.49850000000004,169.13299999999998,135.0706,206.53379999999999,256.4661,345.4625,420.97209999999995,220.51960000000003
8,0,11110615,30725.196900000003,325.6343,926.4348,331.1472,1174.2238,430.9633,3597.5887,4224.8714,3521.5676,2842.1675999999998,1567.5648,741.45,3639.4355,2566.3529,2211.5265,1563.2487,1036.2754
9,0,11110630,7125.366,36.1756,326.6732,56.595,468.34950000000003,226.0448,641.5583,594.0795,729.8227,683.8006,459.87239999999997,167.7752,811.5135,539.0329,373.91290000000004,445.2012,447.10220000000004
10,0,11110640,16938.9169,223.1483,599.9956,166.7033,997.5946,591.1914,1751.7294,1534.1465,1319.7234,1247.1511,650.0404,490.538,2400.4968,1664.8216,1238.2683,1114.051,780.5463
11,0,11110650,28863.1164,445.64549999999997,741.5699,521.4718,1271.7254,1252.682,4630.6256,1545.4143,1478.1631,1543.8524,852.5729,1488.8412,7047.4112000000005,1648.075,1526.4414,1570.492,1046.2044
12,0,11110670,5955.3653,42.1005,308.2269,62.55,471.14869999999996,66.4568,516.5223,473.4217,431.6639,544.3695,475.71999999999997,84.2865,628.7686,397.10269999999997,401.1665,504.0394,459.6808
13,0,11110680,8538.0048,126.146,451.26370000000003,78.2394,701.321,229.5277,618.6923,565.7388,543.346,911.2794,637.0512,164.1618,723.8598,560.9655,428.2083,896.0606,723.3266
14,0,11110690,6751.597,177.2665,358.8053,187.4811,476.2854,213.5637,365.57869999999997,474.0267,546.7728,509.2155,370.0152,276.3252,448.2772,624.8002,581.2962,601.9574,415.58520000000004
15,0,11110700,8088.672100000001,207.8824,339.3027,186.501,601.1026,204.8447,529.6229999999999,640.1423,686.3404,679.223,495.8449,183.0907,774.1007,638.6522,595.8563,684.3302,546.5242
16,0,11110710,11603.016099999999,193.2764,456.801,129.509,691.9943,225.1111,1181.0466999999999,1047.1590999999999,778.9115,886.5511,677.8699,275.0643,1837.2246,1046.0603999999998,691.0272,848.048,524.6254
17,0,11140520,6826.8554,246.9239,108.3266,80.8398,144.6231,76.45009999999999,497.8667,925.3867,1030.3143,705.2098000000001,351.9386,142.8126,584.9751,691.4992,641.4101,357.2577,236.377
18,0,11140540,8000.6566,147.4755,294.66319999999996,174.8451,469.149,131.7651,389.91020000000003,815.205,991.2247,914.3837,425.4348,209.2113,467.7012,636.3356,727.6473000000001,609.6493,435.72299999999996
19,0,11140550,12231.5937,401.55920000000003,358.32579999999996,400.56140000000005,374.3011,280.5309,953.624,1415.6925999999999,1599.7277,1254.0257,517.6294,289.6533,1163.1922,1035.4439,1009.0339,779.7514000000001,398.5411
20,0,11140570,7821.187900000001,139.4988,293.5598,80.50030000000001,407.1465,263.3864,886.1091,736.5837,753.7572,581.0974,372.1968,245.7808,1123.6774,611.7385,523.9281,451.69100000000003,305.5004
21,0,11140580,7370.2812,55.6794,258.8935,64.2787,276.36129999999997,177.1805,1084.2789,644.7314,499.7377,500.17470000000003,262.5118,181.5529,1348.0502000000001,681.4171,510.6936,466.8605,320.3065
22,0,11140590,14551.4287,137.56289999999998,399.50960000000003,116.2323,537.1342,356.6155,1942.0283,1601.5194,1493.5115999999998,1140.1488,604.0831,330.4725,2039.7489,1414.3157,1002.1962,873.082,504.8191
23,0,11140605,7038.8435,26.817,349.1586,44.0209,160.57909999999998,95.9963,727.0374,873.961,800.1629,635.3793000000001,402.24760000000003,108.48830000000001,925.2606000000001,724.299,497.368,368.9232,277.2844
24,0,11140615,14347.8302,83.0705,581.374,99.4277,783.5386,184.4822,1186.5998,1666.7695,1408.0218,1089.615,702.243,158.305,1824.7599999999998,1511.0066,1200.4879,1034.7609,706.6398
25,0,11140625,14143.068000000001,337.1072,673.3783,300.0766,1077.0848,457.0413,956.8969000000001,1159.1845,1265.2112,1083.8393,699.5631,312.4057,1212.5178,1343.1642,1103.62,1055.5184,852.6883
26,0,11140635,13951.5081,485.5595,765.0687,509.9529,1251.6347,303.9302,556.5965,1051.6672,1137.9856,999.0004,733.6504,327.9792,830.7408,1253.0602000000001,1154.5075,1218.1157,894.3845
27,0,11140645,12433.5351,394.626,611.762,418.9991,1027.6875,471.3138,580.0189,1048.7185,813.6706,899.8487,664.6320000000001,417.4881,861.2981,1248.0267,921.28,970.5852,743.2744
28,0,11140650,6875.5323,144.4451,247.4664,238.9326,434.4815,181.7314,511.3884,632.8240000000001,494.252,551.1052999999999,400.2019,194.0941,644.2206,664.185,474.8981,429.0239,455.948
